YEAR;severe overweight;strong overweight;overweight;normal;underweight;strong underweight;severe underweight
0;50;22;20;18;15;14;13
1;50;22;20;18;15;14;13
2;50;21.6;19.83;17.83;14.5;13.5;12.57
3;50;21.2;19.43;17.66;14;13;12.07
4;50;21.45;19.26;17.49;13.5;12.5;11.57
5;50;21.7;19.09;17.32;13;12;11.07
6;50;21.95;18.92;17.15;12.5;11.5;10.57
7;50;22.2;18.75;16.98;12;11;10.07
8;50;22.815;19.44;17.59692308;12.46;11.46;10
9;50;23.43;20.13;18.21384615;12.92;11.92;10.46
10;50;24.045;20.82;18.83076923;13.38;12.38;10.92
11;50;24.66;21.51;19.44769231;13.84;12.84;11.38
12;50;25.275;22.2;20.06461538;14.3;13.3;11.84
13;50;25.89;22.89;20.68153846;14.76;13.76;12.3
14;50;26.505;23.58;21.29846154;15.22;14.22;12.76
15;50;27.12;24.27;21.91538462;15.68;14.68;13.22
16;50;27.735;24.96;22.53230769;16.14;15.14;13.68
17;50;28.35;25.65;23.14923077;16.6;15.6;14.14
18;50;28.965;26.34;23.76615385;17.06;16.06;14.6
19;50;29.58;27.03;24.38307692;17.52;16.52;15.06
20;50;30;28;25;18;17;15.52
21;50;30.5;28.225;25.05;18.01;17.01;15.544
22;50;31;28.45;25.1;18.02;17.02;15.568
23;50;31.5;28.675;25.15;18.03;17.03;15.592
24;50;32;28.9;25.2;18.04;17.04;15.616
25;50;32.5;29.125;25.25;18.05;17.05;15.64
26;50;33;29.35;25.3;18.06;17.06;15.664
27;50;33.5;29.575;25.35;18.07;17.07;15.688
28;50;34;29.8;25.4;18.08;17.08;15.712
29;50;34.5;30.025;25.45;18.09;17.09;15.736
30;50;35;30.25;25.5;18.1;17.1;15.76
31;50;35.5;30.475;25.55;18.11;17.11;15.784
32;50;36;30.7;25.6;18.12;17.12;15.808
33;50;36.5;30.925;25.65;18.13;17.13;15.832
34;50;37;31.15;25.7;18.14;17.14;15.856
35;50;37.5;31.375;25.75;18.15;17.15;15.88
36;50;38;31.6;25.8;18.16;17.16;15.904
37;50;38.5;31.825;25.85;18.17;17.17;15.928
38;50;39;32.05;25.9;18.18;17.18;15.952
39;50;39.5;32.275;25.95;18.19;17.19;15.976
40;50;40;32.5;26;18.2;17.2;16
41;50;40.16666;32.591666;26.03333;18.23;17.21333333;16.01666
42;50;40.33332;32.683332;26.06666;18.26;17.22666666;16.03332
43;50;40.49998;32.774998;26.09999;18.29;17.23999999;16.04998
44;50;40.66664;32.866664;26.13332;18.32;17.25333332;16.06664
45;50;40.8333;32.95833;26.16665;18.35;17.26666665;16.0833
46;50;40.99996;33.049996;26.19998;18.38;17.27999998;16.09996
47;50;41.16662;33.141662;26.23331;18.41;17.29333331;16.11662
48;50;41.33328;33.233328;26.26664;18.44;17.30666664;16.13328
49;50;41.49994;33.324994;26.29997;18.47;17.31999997;16.14994
50;50;41.6666;33.41666;26.3333;18.5;17.3333333;16.1666
51;50;41.83326;33.508326;26.36663;18.53;17.34666663;16.18326
52;50;41.99992;33.599992;26.39996;18.56;17.35999996;16.19992
53;50;42.16658;33.691658;26.43329;18.59;17.37333329;16.21658
54;50;42.33324;33.783324;26.46662;18.62;17.38666662;16.23324
55;50;42.4999;33.87499;26.49995;18.65;17.39999995;16.2499
56;50;42.66656;33.966656;26.53328;18.68;17.41333328;16.26656
57;50;42.83322;34.058322;26.56661;18.71;17.42666661;16.28322
58;50;42.99988;34.149988;26.59994;18.74;17.43999994;16.29988
59;50;43.16654;34.241654;26.63327;18.77;17.45333327;16.31654
60;50;43.3332;34.33332;26.6666;18.8;17.4666666;16.3332
61;50;43.49986;34.424986;26.69993;18.83;17.47999993;16.34986
62;50;43.66652;34.516652;26.73326;18.86;17.49333326;16.36652
63;50;43.83318;34.608318;26.76659;18.89;17.50666659;16.38318
64;50;43.99984;34.699984;26.79992;18.92;17.51999992;16.39984
65;50;44.1665;34.79165;26.83325;18.95;17.53333325;16.4165
66;50;44.33316;34.883316;26.86658;18.98;17.54666658;16.43316
67;50;44.49982;34.974982;26.89991;19.01;17.55999991;16.44982
68;50;44.66648;35.066648;26.93324;19.04;17.57333324;16.46648
69;50;44.83314;35.158314;26.96657;19.07;17.58666657;16.48314
70;50;44.9998;35.24998;26.9999;19.1;17.5999999;16.4998
71;50;45.16646;35.341646;27.03323;19.13;17.61333323;16.51646
72;50;45.33312;35.433312;27.06656;19.16;17.62666656;16.53312
73;50;45.49978;35.524978;27.09989;19.19;17.63999989;16.54978
74;50;45.66644;35.616644;27.13322;19.22;17.65333322;16.56644
75;50;45.8331;35.70831;27.16655;19.25;17.66666655;16.5831
76;50;45.99976;35.799976;27.19988;19.28;17.67999988;16.59976
77;50;46.16642;35.891642;27.23321;19.31;17.69333321;16.61642
78;50;46.33308;35.983308;27.26654;19.34;17.70666654;16.63308
79;50;46.49974;36.074974;27.29987;19.37;17.71999987;16.64974
80;50;46.6664;36.16664;27.3332;19.4;17.7333332;16.6664
81;50;46.83306;36.258306;27.36653;19.43;17.74666653;16.68306
82;50;46.99972;36.349972;27.39986;19.46;17.75999986;16.69972
83;50;47.16638;36.441638;27.43319;19.49;17.77333319;16.71638
84;50;47.33304;36.533304;27.46652;19.52;17.78666652;16.73304
85;50;47.4997;36.62497;27.49985;19.55;17.79999985;16.7497
86;50;47.66636;36.716636;27.53318;19.58;17.81333318;16.76636
87;50;47.83302;36.808302;27.56651;19.61;17.82666651;16.78302
88;50;47.99968;36.899968;27.59984;19.64;17.83999984;16.79968
89;50;48.16634;36.991634;27.63317;19.67;17.85333317;16.81634
90;50;48.333;37.0833;27.6665;19.7;17.8666665;16.833
91;50;48.49966;37.174966;27.69983;19.73;17.87999983;16.84966
92;50;48.66632;37.266632;27.73316;19.76;17.89333316;16.86632
93;50;48.83298;37.358298;27.76649;19.79;17.90666649;16.88298
94;50;48.99964;37.449964;27.79982;19.82;17.91999982;16.89964
95;50;49.1663;37.54163;27.83315;19.85;17.93333315;16.9163
96;50;49.33296;37.633296;27.86648;19.88;17.94666648;16.93296
97;50;49.49962;37.724962;27.89981;19.91;17.95999981;16.94962
98;50;49.66628;37.816628;27.93314;19.94;17.97333314;16.96628
99;50;49.83294;37.908294;27.96647;19.97;17.98666647;16.98294
100;50;50;38;28;20;18;17
